date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:43	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Mar%202022%2002:05:42%20GMT	https://tusecretoobsession.com/robots.txt		(from )
23:05:44	56562/56562	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202022%2002:05:42%20GMT	https://tusecretoobsession.com/video/	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/video/index.html	(from )
23:05:45	83369/83369	---MCZ	200	added ('OK')	text/css	etag:W/%22620ea522-145a9%22	https://tusecretoobsession.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.1	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-includes/css/dist/block-library/style.min74e5.css	(from https://tusecretoobsession.com/video/)
23:05:46	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2262165146-e7d0%22	https://tusecretoobsession.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.15.1	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	(from https://tusecretoobsession.com/video/)
23:05:46	10927/10927	---MCZ	200	added ('OK')	text/css	etag:W/%2262165146-2aaf%22	https://tusecretoobsession.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://tusecretoobsession.com/video/)
23:05:47	176901/176901	---MCZ	200	added ('OK')	text/css	etag:W/%2262165146-2b305%22	https://tusecretoobsession.com/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.1.3	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/themes/oceanwp/assets/css/style.min583f.css	(from https://tusecretoobsession.com/video/)
23:05:47	18900/18900	---MCZ	200	added ('OK')	text/css	etag:W/%22622305c8-49d4%22	https://tusecretoobsession.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from https://tusecretoobsession.com/video/)
23:05:48	98820/98820	---MCZ	200	added ('OK')	text/css	etag:W/%22622305c8-18204%22	https://tusecretoobsession.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.5	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/plugins/elementor/assets/css/frontend-lite.mina25a.css	(from https://tusecretoobsession.com/video/)
23:05:48	1006/1006	---MCZ	200	added ('OK')	text/css	etag:W/%226227d203-3ee%22	https://tusecretoobsession.com/wp-content/uploads/elementor/css/post-8.css?ver=1646776835	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/uploads/elementor/css/post-86178.css	(from https://tusecretoobsession.com/video/)
23:05:49	11405/11405	---MCZ	200	added ('OK')	text/css	etag:W/%2262230591-2c8d%22	https://tusecretoobsession.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.6.2	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min822f.css	(from https://tusecretoobsession.com/video/)
23:05:49	39192/39192	---MCZ	200	added ('OK')	text/css	etag:W/%226227d232-9918%22	https://tusecretoobsession.com/wp-content/uploads/elementor/css/global.css?ver=1646776882	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/uploads/elementor/css/globala4d7.css	(from https://tusecretoobsession.com/video/)
23:05:50	7427/7427	---MCZ	200	added ('OK')	text/css	etag:W/%226227d233-1d03%22	https://tusecretoobsession.com/wp-content/uploads/elementor/css/post-178.css?ver=1646776883	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/uploads/elementor/css/post-17809fb.css	(from https://tusecretoobsession.com/video/)
23:05:50	3968/3968	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262165146-f80%22	https://tusecretoobsession.com/wp-content/themes/oceanwp/assets/js/vendors/smoothscroll.min.js?ver=3.1.3	C:/My%20Web%20Sites/https___tusecretoobsession.com_video_/tusecretoobsession.com/wp-content/themes/oceanwp/assets/js/vendors/smoothscroll.min583f.js	(from https://tusecretoobsession.com/video/)
